OW_k4_1h4m20s.txt;OW_k8_1h5m3s.txt
96.3529411765;96.3529411765
101.470588235;101.470588235
100.176470588;100.176470588
99.7647058824;99.7647058824
96.3529411765;109.882352941
101.470588235;107.588235294
100.176470588;104.470588235
99.7647058824;92.1176470588
79.0171294118;96.3529411765
77.5904941176;101.470588235
77.3747058824;100.176470588
77.4168470588;99.7647058824
77.1785647059;109.882352941
77.3681176471;107.588235294
77.2886352941;104.470588235
77.1207529412;92.1176470588
77.1887882353;85.8487529412
77.1937294118;72.3283294118
77.1608352941;72.3021647059
77.0748235294;71.8945294118
77.0385529412;71.9913647059
77.107;71.6555882353
77.0714588235;71.3673176471
76.9984117647;71.4783176471
76.9051294118;71.3033764706
77.0390235294;71.3306941176
76.9910235294;71.3574941176
76.891;71.2546823529
76.9942352941;71.2353058824
76.8734705882;71.3467882353
76.8941058824;71.2522352941
76.7781411765;71.3336588235
76.9088588235;71.1411882353
76.8144117647;71.1530823529
76.8503647059;71.0476117647
76.871;71.0869882353
76.8415294118;71.0877176471
76.7843529412;71.0156352941
76.8306470588;71.0609882353
76.7983529412;71.0914588235
76.8392705882;71.0129294118
76.8062941176;70.9904823529
76.8391176471;71.0903058824
76.8731411765;71.0163764706
76.8201176471;70.9793058824
76.7751764706;70.9922705882
76.7976;70.9593647059
76.8061764706;70.9813882353
76.8144117647;71.0061294118
76.8216705882;70.9641647059
76.7903764706;71.0629647059
76.8062235294;71.0968470588
76.7751764706;71.0690235294
76.7774352941;70.8990235294
76.8503411765;70.8897176471
76.7857176471;71.0141647059
76.7972235294;70.9243764706
76.7753176471;70.9929529412
76.7758823529;70.9646
76.7758823529;70.9376823529
76.7808235294;71.0017529412
76.7753176471;70.9780235294
76.7798352941;70.9807764706
76.7789411765;70.9804941176
76.7753176471;71.0135294118
76.7763058824;70.9796117647
76.7976;70.8813058824
76.8072117647;71.044
76.7755529412;70.9136470588
76.7781411765;70.9516235294
76.8028705882;70.9235058824
76.7781411765;70.8962823529
76.7789411765;70.9314588235
76.7763058824;71.0788352941
76.7758823529;70.9571058824
76.7751764706;70.8836235294
76.8000235294;70.9026117647
76.7789411765;70.9210941176
76.7751764706;70.9108235294
76.8064;70.9218705882
76.7753176471;70.8807647059
76.7755529412;70.9136117647
76.7976;70.9017882353
76.7753176471;71.0401411765
76.7887294118;70.9148235294
76.8022352941;70.9484941176
76.7808235294;70.9483764706
76.8066470588;70.9094705882
76.7774352941;71.0337764706
76.8051294118;70.9014117647
76.7798352941;70.9224470588
76.7789411765;70.9028235294
76.7871764706;70.9556
76.7830823529;70.9954352941
76.7753176471;70.9093647059
76.7819058824;70.9563058824
76.7789411765;70.9669882353
76.7751294118;71.0098
76.7819058824;70.8855176471
76.7751764706;70.8721882353
