OW_k8_discount0.8_randomInit;OW_k8_discount0.99_randomInit;OW_k8_discount0.95_randomInit
82.8123039216;82.9289301961;82.791687451
83.007032549;82.9929792157;82.8063568627
82.86444;82.8508066667;82.7897933333
82.8865384314;82.9082058824;82.9505639216
82.9638952941;83.0507301961;83.0046596079
82.8036843137;82.9204121569;82.9603180392
82.9543909804;82.9374639216;83.1174101961
83.0183905882;82.7196192157;82.8890576471
77.9354462745;74.7177011765;75.1002501961
90.7420258824;77.1476521569;76.981587451
81.6497352941;72.165867451;73.1255752941
74.7120760784;76.8706023529;76.1073780392
72.8594447059;73.6694764706;73.5620458824
71.2207701961;75.8605239216;71.3951619608
69.7330137255;70.3543309804;69.6343133333
69.1973019608;69.5372545098;69.025067451
69.486752549;69.1898984314;68.9818560784
69.9929588235;68.7120298039;68.5149631373
71.2381290196;68.5804364706;68.3754039216
73.2392490196;68.4633180392;68.4310545098
74.2672105882;68.427612549;68.2943047059
75.4305047059;68.3892062745;68.2919505882
76.8855917647;68.3706596078;68.1815415686
78.5234231373;68.3431180392;68.184017647
78.3750898039;68.3247517647;68.1749329412
78.6668737255;68.3211509804;68.0504564706
77.8582670588;68.3017698039;68.3104741176
75.1703035294;68.2898223529;68.1587823529
73.8304478431;68.2869133333;68.2350156863
75.1284066667;68.2570262745;68.6712462745
73.2633858824;68.2569341177;68.5589835294
72.5096313725;68.2461305882;68.2485231373
71.7288333333;68.2331847059;68.3622094118
71.4358062745;68.2116741177;68.5972168627
71.5790513725;68.2093694118;68.6089521569
71.97576;68.2063211765;68.5288098039
72.3444552941;68.2174607843;68.7158462745
73.027657647;68.2292705882;68.4956756863
73.354072549;68.2080870588;68.5941329412
73.6580262745;68.1819576471;68.3691776471
73.9183811765;68.1834160784;68.3942776471
74.1052576471;68.1688690196;68.3547364706
74.0507921568;68.18128;68.2427278431
74.8999305882;68.1884788235;68.3070592157
75.9285921569;68.1485901961;68.4083482353
76.089087451;68.123552549;68.3347701961
75.9636356863;68.1154133333;68.2795878431
75.2733631373;68.1109541176;68.4601470588
76.2068031373;68.1220403922;68.6063670588
74.9510054902;68.1080984314;68.5583337255
73.0552478431;68.1049278431;68.3914141177
72.6548803922;68.0812121569;68.5328615686
72.460054902;68.1258796078;68.665734902
72.2030298039;68.1367882353;68.7703623529
72.927607451;68.0800043137;68.9692588235
72.8568788235;68.1525647059;69.0092192157
73.3240462745;68.0971329412;69.0532992157
72.6914741177;68.2690058824;69.2109047059
72.9551423529;68.0843478431;69.3549321569
73.2255619608;68.1222019608;69.3384329412
73.3254870588;68.1009807843;69.468
73.4459019608;68.0616011765;69.3900376471
73.9090831373;68.1375192157;69.2012615686
73.9492388235;68.1963454902;69.5213345098
74.3219219608;68.1506078431;69.7644686275
74.4338;68.0933321569;70.2617137255
74.1503596078;68.0196282353;70.6522615686
75.1224996078;68.0451133333;70.9835247059
75.34492;68.1371360784;71.2484462745
75.2861976471;68.0430811765;71.2081466667
75.6186815686;67.999325098;71.1905015686
76.0957462745;67.9780345098;71.12832
74.0184756863;68.0141521569;70.4545235294
72.7796529412;67.9778247059;70.328354902
72.6302909804;68.0114156863;70.5147823529
72.9959670588;67.9816847059;70.1831235294
73.1201862745;68.0089921569;70.23184
72.8287486274;68.0331705882;69.7704156863
72.7970572549;67.9865733333;69.7162745098
73.0839427451;67.9436870588;70.289614902
73.6493831373;68.0042996079;70.4322541176
73.2366443137;67.9871545098;70.8383627451
73.1574043137;67.9766345098;70.4838098039
73.3021780392;67.9519458824;70.0973482353
73.9454839216;67.9915270588;69.6338807843
74.4381454902;67.9086627451;69.6249831373
74.5536831373;67.9832356863;69.8466376471
74.3843796078;67.9441376471;69.5362580392
75.0371176471;67.9717572549;69.4292862745
75.022107451;67.9411117647;69.0388631373
74.7169772549;67.9215745098;68.6976521569
74.1198078431;67.9221070588;68.805847451
75.3166705882;67.8941584314;69.4196886274
74.3291478431;67.9150941176;69.4082937255
74.7883882353;67.9319505882;69.2048286275
73.4323254902;67.9295929412;69.6923666667
72.8109482353;67.8862960784;69.9510086275
72.7253682353;67.8740996078;70.0672623529
72.6511760784;67.8387298039;70.0746054902
73.0887654902;67.8405509804;69.9133882353
