Braess_1_4200_10_c1_k3_epochsize101_gamma0.1_10h57m29s.txt;Braess_1_4200_10_c1_k3_epochsize102_gamma0.2_23h3m45s.txt
15.5328276644;15.585372449
15.6299886621;15.5923679138
15.6303316326;15.5992947846
15.6420617914;15.6687346939
15.6880328798;15.7345470521
15.6740249433;15.682654195
15.7189852608;15.598989229
15.7347267574;15.7301729025
15.7676944444;15.7917987528
15.7782477324;15.7024546485
15.8625362812;15.7754614512
15.8631252834;15.8021502267
15.8720283447;15.805005102
15.9052981859;15.8173480726
15.8322358277;15.8675878685
15.857803288;15.8476944444
15.8232845805;15.8327239229
15.8558871882;15.862185941
15.8444195011;15.8489274376
15.8843684807;15.8880113379
15.9452267574;15.866100907
15.9216695011;15.8920385487
15.9020232426;15.9017828798
15.9063701814;15.9308236961
15.9538599773;15.8930481859
15.9607443311;15.9196337868
15.9011094104;15.8453951247
15.9643628118;15.9118594104
15.9657171202;15.9265668934
16.0039648526;15.9257346939
15.9476145125;15.9415022676
15.9808673469;15.9074495465
16.0005725623;15.9183956916
15.9854342404;15.9412437642
15.9610685941;15.9237488662
16.0619869614;15.9185589569
16.0118276644;15.9784382086
16.0669172335;15.9287131519
15.9668123583;15.969111678
15.9858985261;15.9334172335
15.999356576;15.9648599773
16.053760771;15.9852437642
15.9904722222;15.9824631519
16.0297879818;15.9784382086
16.0936655329;16.0194387755
16.0525379818;15.9922454648
16.0384693877;16.0206400227
16.0323310657;15.9967307256
16.0785725623;16.0147959184
16.082111678;16.0024671202
16.0576422902;16.0082199546
16.0613520408;15.9709489796
16.0604818594;16.0232908163
16.0844535147;16.0146848072
16.1003956916;16.0060997732
16.0554223356;16.0003367347
16.055175737;15.9943701814
16.0790890023;15.984404195
16.0907947846;16.0389773243
16.057696712;16.0941043084
16.1022811791;16.0465351474
16.1270351474;16.0704291383
16.0856218821;16.1102273243
16.0930821995;16.0001836735
16.1434750567;16.0756371882
16.1020663265;16.0811077097
16.1103407029;16.111446712
16.1217375283;16.0971570295
16.1113163265;16.0835470521
16.0889030612;16.0735260771
16.1750113379;16.1315759637
16.1090090703;16.0911678004
16.1203356009;16.082324263
16.1486377551;16.0751184807
16.0691439909;16.1429671202
16.1306264172;16.1486558957
16.1146082766;16.1397959184
16.1339002267;16.1405997732
16.0945538549;16.1476247165
16.1204444444;16.1062998866
16.1381519274;16.171574263
16.1486763038;16.165946712
16.1608713152;16.1566315193
16.1293117914;16.1394971655
16.2137556689;16.1715334467
16.1418871882;16.1740685941
16.2081099773;16.1533815193
16.2227715419;16.1807715419
16.1498287982;16.2020141723
16.2018735828;16.1768622449
16.153143424;16.2105045351
16.1685555555;16.1912256236
16.1292743764;16.1695719955
16.1593673469;16.1639104308
16.2010487528;16.187973356
16.1904994331;16.2136400227
16.1972749433;16.1960294784
16.2322409297;16.222803288
16.1972091837;16.2227715419
16.2515787982;16.1836899093
