Braess_1_4200_10_c1_k3_epsilon0.01_p_forget0.001_decay0.99_12h9m58s.txt;Braess_1_4200_10_c1_k3_epsilon0.01_p_forget0.01_decay0.9_12h13m24s.txt;Braess_1_4200_10_c1_k3_epsilon0.01_p_forget0.001_decay0.9_12h12m30s.txt
15.5822908163;15.533574263;15.592255102
15.540680839;15.5755878685;15.6027040816
15.5732046485;15.5878684807;15.5358985261
15.570819161;15.6260192744;15.5655736961
15.5633922902;15.5964954648;15.5420702948
15.5896439909;15.6057471655;15.58694161
15.5675379818;15.5870124716;15.5792409297
15.6358327664;15.5949036281;15.5812273243
15.6360839002;15.6097199546;15.6080102041
15.6514433106;15.6109688209;15.613
15.5886196145;15.6369280045;15.6641371882
15.6698287982;15.5976473923;15.6803089569
15.7212454648;15.6363832199;15.6443611111
15.6712437642;15.640356576;15.6574178004
15.6429756236;15.6373662131;15.6777919501
15.6879875283;15.6759212018;15.6533752834
15.6651252834;15.6862386621;15.6969263038
15.6863038549;15.6893287982;15.7300226757
15.7198123583;15.6934750567;15.6925153061
15.7207987528;15.7218151927;15.7242205215
15.6647012472;15.7229138322;15.7279597506
15.7163066893;15.7004535147;15.7174858277
15.7596536281;15.7841836735;15.7611660998
15.7761729025;15.7274433106;15.7503543084
15.716909297;15.7311043084;15.7263321995
15.7179597506;15.7086695011;15.7803021542
15.7421797052;15.7251933106;15.7745090703
15.7441326531;15.7086173469;15.7670141723
15.7701524943;15.7992250567;15.8097437642
15.8259688209;15.7525130385;15.7586485261
15.8020073696;15.7723922902;15.8057199546
15.7735963719;15.8148735828;15.7541388889
15.8292358277;15.8367131519;15.8249546485
15.8191655329;15.8073611111;15.8220776644
15.8160300453;15.8445226757;15.8088718821
15.8349036281;15.7991502267;15.769824263
15.8308072562;15.8796286848;15.8211814059
15.8515810658;15.9546995465;15.8119693877
15.7993951247;15.8445011338;15.8195702948
15.8650453515;15.8782052154;15.8998781179
15.8794336735;15.8461842404;15.8520096372
15.8279212018;15.8424943311;15.8570804989
15.9034336735;15.8512749433;15.8830895692
15.8098798186;15.8424155329;15.8653202948
15.888201814;15.8950821995;15.9132862812
15.8416695011;15.8346575964;15.8970708617
15.8585725623;15.8976927438;15.8750164399
15.8670867347;15.9487216553;15.9275878685
15.9337851474;15.8835243764;15.8625226757
15.8996558957;15.9013089569;15.8894903628
15.9366536281;15.9400980726;15.8741247165
15.9245102041;15.9811122449;15.878770975
15.9369274376;15.907324263;15.9472981859
15.9286281179;15.9163684807;15.9012522676
15.9173701814;15.904409297;15.9402681406
16.014899093;15.9446575964;15.9562358277
15.95569161;15.9605907029;15.9436201814
15.9211048753;16.0243270975;15.9505810657
15.9691978458;16.0260005669;15.9212477324
16.0353973923;15.9901729025;15.945111678
15.9892879818;15.9535260771;16.0277188209
15.9796400227;16.0204903628;15.9539886621
15.9245918367;15.9225130385;16.0025226757
15.9828140589;16.0029824263;16.040553288
16.0091978458;16.004201814;15.9773526077
16.0146848072;16.0051388889;16.0531570295
16.0114767574;16.0450181406;16.1137981859
15.9917845805;16.0481683673;16.0146621315
16.0431315193;16.1048673469;16.0701638322
16.0029280045;16.0288418367;16.0723202948
16.0430498866;16.0668718821;16.0780963719
15.9869671202;16.0372953515;16.1011683673
16.0737562358;16.0427222222;16.0797080499
16.0214172335;16.0274631519;16.0743339002
16.0285090703;16.1090362812;16.1146763038
16.0438236961;16.0856060091;16.1269954648
16.1078939909;16.0658055555;16.1666536281
16.0313696145;16.1168781179;16.0663066893
16.0500226757;16.0593679138;16.1360963719
16.0726740363;16.1785379818;16.1286315193
16.0811479592;16.1498287982;16.1363106576
16.1356014739;16.1149824263;16.1690345805
16.0275736961;16.077824263;16.0800464852
16.1193339002;16.0867556689;16.0864155329
16.177393424;16.1327352608;16.1437641723
16.1247630385;16.1704954648;16.1137760771
16.1423543084;16.1203854875;16.1328304989
16.1150226757;16.1549399093;16.2005283447
16.1337783447;16.1189897959;16.2063747165
16.0657035147;16.177111678;16.1814858277
16.160020975;16.1911479592;16.1577851474
16.1949824263;16.1568662131;16.1351933106
16.1661162131;16.1623956916;16.236255102
16.2157148526;16.145154195;16.1137256236
16.2121961451;16.253270975;16.1838010204
16.1717471655;16.229850907;16.210260771
16.1935827664;16.1248979592;16.3006133787
16.2117573696;16.2378514739;16.2944699546
16.1786740363;16.1408900227;16.1973900227
16.1378168934;16.1798820862;16.2615946712
