Braess_1_4200_10_c1_k3_sequentialInit;Braess_1_4200_10_c1_k3_randomInit
20.0;15.5639247165
20.0;15.5554973437
20.0;15.550381665
20.0;20.0
20.0;15.315413573
20.0;17.8572414966
20.0;16.9458256884
20.0;17.7942094266
20.0;15.3866878199
20.0;15.3236557499
20.0;15.4063435212
20.0;15.6070872044
20.0;15.5887744088
20.0;15.4002516359
20.0;15.4165227081
20.0;15.424916035
20.0;15.4558413994
20.0;15.3928093294
20.0;15.462544817
20.0;15.4062469064
20.0;15.4062469064
20.0;15.3432148364
20.0;15.4062469064
20.0;15.3432148364
20.0;15.3421544056
20.0;15.4062469064
20.0;15.4062469064
20.0;15.2774216391
20.0;15.2634133787
20.0;15.2634133787
20.0;15.2945109653
20.0;15.2945109653
20.0;15.3409178652
20.0;15.3801432297
20.0;15.3750658244
20.0;15.4212388403
20.0;15.5163626984
20.0;15.3347854551
20.0;15.4739698575
20.0;15.5744880304
20.0;15.5648798348
20.0;15.6457696955
20.0;15.6241446388
20.0;15.5949866861
20.0;15.6367206673
20.0;15.4445024457
20.0;15.6165192744
20.0;15.3452175413
20.0;15.4099167962
20.0;15.4328407515
20.0;15.3792725624
20.0;15.4575230969
20.0;15.3946339488
20.0;15.3941389213
20.0;15.447392679
20.0;15.4681538711
20.0;15.5058496599
20.0;15.3728170716
20.0;15.3731190152
20.0;15.4306717687
20.0;15.4363331714
20.0;15.4634664561
20.0;15.601555183
20.0;15.3957462585
20.0;15.3957462585
20.0;15.4203853741
20.0;15.5007442339
20.0;15.4768578069
20.0;15.4844686427
20.0;15.4382910593
20.0;15.5227673469
20.0;15.5598187399
20.0;15.5019851636
20.0;15.4450993035
20.0;15.5648275024
20.0;15.4727226595
20.0;15.4218006317
20.0;15.4606156463
20.0;15.5280025429
20.0;15.444708309
20.0;15.5561766116
20.0;15.4156098801
20.0;15.4319206349
20.0;15.5186066245
20.0;15.5027654357
20.0;15.5437435536
20.0;15.4942402656
20.0;15.6063040168
20.0;15.5593150956
20.0;15.5447957726
20.0;15.5511734856
20.0;15.487468254
20.0;15.5902883058
20.0;15.4869651765
20.0;15.4531768383
20.0;15.5246030774
20.0;15.4630948332
20.0;15.5008400713
20.0;15.4218006317
20.0;15.4218006317
